year,make,model,cond,mileage,price
2016,Toyota,Avalon XLE Premium,,110856,18771
2017,Toyota,Highlander Limited Platinum,,38345,38487
2013,Toyota,4Runner SR5,,152640,21991
2017,Toyota,Camry SE,,110930,17993
2019,Toyota,RAV4 Limited,,37672,33991
2019,Toyota,Highlander XLE,,43899,38972
2021,Toyota,RAV4 XLE,,14863,35200
2013,Toyota,Highlander Limited,,48111,23982
2013,Toyota,Tundra Grade,,218460,9995
2019,Toyota,Camry XSE,,31788,29984
2020,Toyota,Highlander Limited,,45194,44125
2017,Toyota,RAV4 LE,,46983,23999
2018,Toyota,Tacoma TRD Sport,,19959,36000
2018,Toyota,Camry SE,,25141,25999
2020,Toyota,Camry SE,,21370,27595
2019,Toyota,RAV4 Limited,,31634,38790
2013,Toyota,Land Cruiser V8,,85527,54975
2020,Toyota,Tundra SR5,,33022,43345
2020,Toyota,RAV4 XLE,,30020,33591
2016,Toyota,Highlander XLE,,66778,28991
2014,Toyota,Highlander Limited,,104806,23377
2012,Toyota,Camry LE,,76077,15000
2019,Toyota,Highlander Hybrid Limited,,17424,45500
2018,Toyota,4Runner Limited,,39512,43987
2015,Toyota,4Runner Limited,,111355,28995
2019,Toyota,Corolla SE,,49039,21995
2018,Toyota,Highlander Hybrid XLE,,14795,41950
2019,Toyota,Camry XSE,,22133,35497
2019,Toyota,RAV4 XLE,,20319,32508
2018,Toyota,RAV4 LE,,37886,25689
2014,Toyota,Sienna XLE,,92839,20989
2015,Toyota,Sequoia Platinum,,91857,39199
2019,Toyota,Camry LE,,21903,28999
2017,Toyota,Camry LE,,66030,19599
2017,Toyota,Highlander Limited Platinum,,30126,37999
2017,Toyota,Highlander Limited Platinum,,31331,37523
2014,Toyota,Tacoma Base,,35000,22995
2018,Toyota,Tacoma SR5,,16199,29990
2018,Toyota,RAV4 XLE,,55197,26581
2017,Toyota,RAV4 Hybrid Limited,,37508,29992
2021,Toyota,Tundra SR5,,19656,51995
2012,Toyota,Highlander Limited,,144797,16995
2019,Toyota,4Runner Limited,,18603,44363
2020,Toyota,Tacoma TRD Sport,,16037,40000
2020,Toyota,4Runner Limited,,19331,49944
2017,Toyota,Sienna XLE Premium,,49397,35788
2017,Toyota,Camry SE,,46099,19992
2015,Toyota,Camry XLE,,34396,18500
2016,Toyota,Camry SE,,111023,15500
2018,Toyota,RAV4 XLE,,26254,28991
2009,Toyota,Camry Hybrid ,,80916,7995
2018,Toyota,RAV4 XLE,,58888,23595
2014,Toyota,Tacoma Base,,86729,24715
2018,Toyota,Highlander XLE,,32591,35450
2002,Toyota,Sequoia Limited,,131750,9907
2018,Toyota,RAV4 XLE,,36107,27530
2014,Toyota,FJ Cruiser Base,,92624,33999
2010,Toyota,Venza ,,25557,14995
2018,Toyota,RAV4 XLE,,37825,26999
2019,Toyota,Tacoma SR,,57222,26999
2017,Toyota,4Runner Limited,,35772,39999
2019,Toyota,4Runner Limited,,35580,44999
2019,Toyota,Mirai Base,,19279,22950
2016,Toyota,Highlander XLE,,86749,27908
2021,Toyota,RAV4 XLE,,12430,39624
2018,Toyota,RAV4 XLE,,48048,29243
2017,Toyota,Camry SE,,107458,17757
2019,Toyota,Highlander XLE,,19001,41853
2009,Toyota,Camry XLE,,151122,8988
2018,Toyota,RAV4 Limited,,29470,31981
2018,Toyota,RAV4 XLE,,19703,26995
2018,Toyota,RAV4 LE,,39115,26998
2019,Toyota,Corolla SE,,18241,20490
2015,Toyota,Tacoma Base,,37804,37543
2019,Toyota,Camry LE,,58513,24988
2018,Toyota,4Runner Limited,,21605,45991
2018,Toyota,RAV4 XLE,,40754,30000
2018,Toyota,Camry XLE,,63301,24490
2017,Toyota,Camry XLE,,39000,16900
2020,Toyota,Highlander XLE,,15000,41451
2016,Toyota,4Runner Limited,,76054,37991
2017,Toyota,Highlander Limited,,26080,40998
2019,Toyota,RAV4 XLE Premium,,26522,38992
2016,Toyota,Corolla L,,81186,15000
2018,Toyota,RAV4 LE,,30562,26994
2020,Toyota,RAV4 LE,,12906,30864
2018,Toyota,RAV4 XLE,,68672,26431
2017,Toyota,Camry SE,,50271,20987
2019,Toyota,Camry LE,,45225,26392
2018,Toyota,Highlander XLE,,27553,37999
2018,Toyota,Tundra SR5,,31819,46445
2017,Toyota,Highlander XLE,,49867,32500
2019,Toyota,Highlander LE,,42610,31995
2017,Toyota,Camry XLE,,92511,19991
2019,Toyota,Corolla SE,,33179,19996
2017,Toyota,Sienna LE,,118015,20936
2018,Toyota,RAV4 XLE,,18730,28995
2017,Toyota,RAV4 LE,,65109,23244
2015,Toyota,Camry SE,,95230,13788
2019,Toyota,Camry SE,,21501,26715
2015,Toyota,Sienna LE,,33504,26990
2016,Toyota,Sienna XLE,,60378,29446
2019,Toyota,RAV4 Hybrid XSE,,18005,44988
2007,Toyota,RAV4 Base,,205324,5999
2021,Toyota,RAV4 LE,,19374,31000
2018,Toyota,RAV4 LE,,41826,25695
2012,Toyota,Highlander SE,,88929,18422
2017,Toyota,Highlander Limited Platinum,,48174,30899
2021,Toyota,Venza XLE,,13905,38884
2021,Toyota,RAV4 XLE,,11337,38260
2018,Toyota,RAV4 XLE,,14272,29555
2016,Toyota,4Runner Limited,,42510,36988
2021,Toyota,Camry XSE,,22255,39028
2018,Toyota,RAV4 XLE,,15078,30675
2018,Toyota,4Runner Limited,,41131,47790
2016,Toyota,Sienna XLE,,12625,33892
2019,Toyota,Camry XSE,,47781,29525
2020,Toyota,4Runner Limited,,23017,50000
2018,Toyota,RAV4 Hybrid XLE,,45414,29999
2016,Toyota,4Runner Limited,,89672,34992
2021,Toyota,Tundra SR5,,17032,51922
2015,Toyota,4Runner Limited,,50434,38777
2018,Toyota,4Runner Limited,,42778,45991
2018,Toyota,Highlander XLE,,21728,37551
2017,Toyota,RAV4 Limited,,39523,28987
2013,Toyota,Land Cruiser V8,,171661,34000
2018,Toyota,RAV4 XLE,,34595,27616
2020,Toyota,Corolla SE,,13812,25599
2018,Toyota,RAV4 XLE,,82942,26500
2018,Toyota,RAV4 XLE,,39034,28141
2021,Toyota,RAV4 LE,,10969,37985
2019,Toyota,Corolla LE,,10903,26699
2014,Toyota,Tacoma Base,,82031,23412
2015,Toyota,4Runner Limited,,81760,37491
2016,Toyota,4Runner Limited,,66693,34571
2017,Toyota,RAV4 Limited,,34770,29744
2018,Toyota,4Runner Limited,,52538,41781
2019,Toyota,Highlander XLE,,20866,41257
2019,Toyota,Corolla SE,,16784,20908
2018,Toyota,RAV4 XLE,,35862,27228
2018,Toyota,RAV4 Limited,,51096,30500
2016,Toyota,Avalon XLE Premium,,80430,22995
2019,Toyota,C-HR LE,,46575,22601
2018,Toyota,RAV4 XLE,,32624,27495
2018,Toyota,RAV4 LE,,39141,26639
2017,Toyota,RAV4 Hybrid Limited,,62899,28977
2016,Toyota,Tacoma SR5,,96559,25999
2007,Toyota,Prius ,,54168,11975
2014,Toyota,Sienna XLE,,90733,21500
2021,Toyota,Highlander XSE,,7468,47899
